Art,Name,Type,Archetype,Rarity,Requirements,Ammo,Element,Tier,Excels,Source,Craftable?,Requires,Released,Slot,Ammo?,Element?,Can be Crafted?,Best of?,Rank
, Aisha's Care,Pulse Rifle,Heavy Burst,Legendary,The Final Shape, Primary, Strand,A > Strong,PvP,Trials of Osiris, No, The Final Shape,The Final Shape,Kinetic,Primary,Strand,No,Top-tier,A › Strong
,1000 Yard Stare,Sniper Rifle,Adaptive,Legendary,30th Anniversary, Special, Void,A > Strong,PvP,Grasp of Avarice Dungeon, No, 30th Anniversary,30th Anniversary event,Energy,Special,Void,No,Top-tier,A › Strong
,A Distant Pull,Sniper Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Stasis,B > Average,PvE,Xûr, Yes, Free-to-Play,Season 21,Kinetic,Special,Stasis,Craftable,,B › Average
,A Fine Memorial,Machine Gun,Adaptive,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Moon, No, Free-to-Play,Season 14,Heavy,Heavy,Arc,No,,C › Weak
,A Sudden Death,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Void,S > Best,PvE + PvP,Prophecy Dungeon, No, Free-to-Play,Season 23,Energy,Special,Void,No,Top-tier,S › Best
,A Swift Verdict,Sidearm,Precision,Legendary,Free-to-Play, Primary, Void,B > Average,PvP,Xûr, No, Free-to-Play,Season 15,Energy,Primary,Void,No,,B › Average
,Aberrant Action,Sidearm,Rocket-Assisted,Legendary,Episode 1: Echoes, Special, Solar,A > Strong,PvE,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Energy,Special,Solar,Craftable,Top-tier,A › Strong
,Abide the Return,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Solar,B > Average,PvE,Shattered Throne Dungeon, No, Free-to-Play,Season 14,Heavy,Heavy,Solar,No,,B › Average
,Abyss Defiant,Auto Rifle,High-Impact,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvE,Crota's End Raid, Yes, Free-to-Play,Season 22,Energy,Primary,Solar,Craftable,Top-tier,A › Strong
,Abyssal Edge,Sword,Wave,Legendary,Episode 3: Heretic, Heavy, Strand,A > Strong,PvE,Heresy Activities, No, Episode 3: Heretic,Episode 3,Heavy,Heavy,Strand,No,Top-tier,A › Strong
,Acasia's Dejection,Trace Rifle,Adaptive,Legendary,Lightfall, Special, Solar,S > Best,PvE,Root of Nightmares Raid, Yes, Lightfall,Season 20,Energy,Special,Solar,Craftable,Top-tier,S › Best
,Accrued Redemption,Combat Bow,Precision,Legendary,Shadowkeep Pack, Primary, Kinetic,S > Best,PvE + PvP,Garden of Salvation Raid, Yes, Shadowkeep Pack,Season 8,Kinetic,Primary,Kinetic,Craftable,Top-tier,S › Best
,Ace of Spades,Hand Cannon,Exotic,Exotic,Forsaken Pack, Primary, Kinetic,A > Strong,PvP,Exotic Kiosk, No, Forsaken Pack,Season 4,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Acosmic,Grenade Launcher,Rapid-Fire,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,Event: Festival of the Lost, No, Free-to-Play,Episode 2,Heavy,Heavy,Void,No,,C › Weak
,Adamantite,Auto Rifle,Support,Legendary,Episode 3: Heretic, Primary, Strand,S > Best,PvE,Heresy Activities, No, Episode 3: Heretic,Episode 3,Kinetic,Primary,Strand,No,Top-tier,S › Best
,Adhortative,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvE,Undying, Yes, Free-to-Play,Season 23,Energy,Primary,Solar,Craftable,Top-tier,A › Strong
,Adjudicator,Submachine Gun,Precision,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvE + PvP,Prophecy Dungeon, No, Free-to-Play,Season 23,Kinetic,Primary,Kinetic,No,,B › Average
,Admetus-D,Scout Rifle,High-Impact,Legendary,Free-to-Play, Primary, Void,B > Average,PvE + PvP,World loot pool, No, Free-to-Play,Episode 3,Energy,Primary,Void,No,,B › Average
,Adored,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Arc,B > Average,PvP,Exotic Kiosk, No, Free-to-Play,Season 12,Energy,Special,Arc,No,,B › Average
,Adverse Possession IX,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Arc,D > Worst,-,World loot pool, No, Free-to-Play,The Final Shape,Energy,Primary,Arc,No,,D › Worst
,Afterlight,Fusion Rifle,Adaptive,Legendary,Episode 3: Heretic, Special, Void,A > Strong,PvE,Heresy Activities, No, Episode 3: Heretic,Episode 3,Energy,Special,Void,No,Top-tier,A › Strong
,Age-Old Bond,Auto Rifle,High-Impact,Legendary,Forsaken Pack, Primary, Void,A > Strong,PvE,Last Wish Raid, Yes, Forsaken Pack,Season 4,Energy,Primary,Void,Craftable,Top-tier,A › Strong
,Ager's Scepter,Trace Rifle,Exotic,Exotic,Beyond Light Pack, Special, Stasis,B > Average,PvE,Exotic Kiosk, No, Beyond Light Pack,Season 15,Kinetic,Special,Stasis,No,,B › Average
,Aisha's Embrace,Scout Rifle,Rapid-Fire,Legendary,The Final Shape, Primary, Void,C > Weak,PvE,Trials of Osiris, No, The Final Shape,Season 16,Energy,Primary,Void,No,,C › Weak
,Albedo Wing,Glaive,Aggressive,Legendary,Free-to-Play, Special, Arc,S > Best,PvE + PvP,Event: Dawning, No, Free-to-Play,Season 23,Energy,Special,Arc,No,Top-tier,S › Best
,Albruna-D,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Arc,B > Average,PvE + PvP,Playlist: Gambit, No, Free-to-Play,Season 19,Energy,Special,Arc,No,,B › Average
,Allied Demand,Sidearm,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvP,Iron Banner, No, Free-to-Play,Season 18,Kinetic,Primary,Kinetic,No,,B › Average
,Ammit AR2,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Solar,S > Best,PvE + PvP,Gunsmith, Yes, Free-to-Play,Season 18,Energy,Primary,Solar,Craftable,Top-tier,S › Best
,Anamnesis,Combat Bow,Lightweight,Legendary,Episode 3: Heretic, Primary, Void,A > Strong,PvE,Heresy Activities, No, Episode 3: Heretic,Episode 3,Energy,Primary,Void,No,Top-tier,A › Strong
,Anarchy,Grenade Launcher,Exotic,Exotic,Forsaken Pack, Heavy, Arc,A > Strong,PvE,Exotic Kiosk, No, Forsaken Pack,Season 5,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,Ancient Gospel,Hand Cannon,Adaptive,Legendary,Shadowkeep Pack, Primary, Void,A > Strong,PvE,Garden of Salvation Raid, Yes, Shadowkeep Pack,Season 8,Energy,Primary,Void,Craftable,Top-tier,A › Strong
,Annual Skate,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Solar,D > Worst,-,World loot pool, No, Free-to-Play,Season 15,Energy,Primary,Solar,No,,D › Worst
,Anonymous Autum,Sidearm,Lightweight,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvE + PvP,Playlist: Crucible, No, Free-to-Play,Episode 2,Energy,Primary,Arc,No,Top-tier,A › Strong
,Apex Predator,Rocket Launcher,Adaptive,Legendary,Forsaken Pack, Heavy, Solar,S > Best,PvE,Last Wish Raid, Yes, Forsaken Pack,Season 4,Heavy,Heavy,Solar,Craftable,Top-tier,S › Best
,Apostate,Sniper Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Arc,C > Weak,-,Moon, No, Free-to-Play,Season 13,Energy,Special,Arc,No,,C › Weak
,Appetence,Trace Rifle,Adaptive,Legendary,Lightfall, Special, Stasis,A > Strong,PvE,Starcrossed, Yes, Lightfall,Season 23,Kinetic,Special,Stasis,Craftable,Top-tier,A › Strong
,Arbalest,Linear Fusion Rifle,Exotic,Exotic,Lightfall, Special, Kinetic,C > Weak,-,Exotic Quest, No, Lightfall,Season 6,Kinetic,Special,Kinetic,No,,C › Weak
,Arbalest,Linear Fusion Rifle,Exotic,Exotic,Lightfall, Special, Kinetic,C > Weak,-,Exotic Quest, No, Lightfall,Season 6,Kinetic,Special,Kinetic,No,,C › Weak
,Arc Logic,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,Moon, No, Free-to-Play,Season 14,Energy,Primary,Arc,No,,C › Weak
,Arcane Embrace,Shotgun,Heavy Burst,Legendary,Free-to-Play, Special, Arc,A > Strong,PvE,Event: Festival of the Lost, No, Free-to-Play,Episode 2,Energy,Special,Arc,No,Top-tier,A › Strong
,Archon's Thunder,Machine Gun,High-Impact,Legendary,Free-to-Play, Heavy, Stasis,A > Strong,PvE,Iron Banner, No, Free-to-Play,Episode 2,Heavy,Heavy,Stasis,No,Top-tier,A › Strong
,Arctic Haze,Auto Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Solar,C > Weak,-,Europa, No, Free-to-Play,Season 12,Energy,Primary,Solar,No,,C › Weak
,Arsenic Bite-4b,Combat Bow,Lightweight,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Energy,Primary,Arc,No,,C › Weak
,Ascendancy,Rocket Launcher,Precision,Legendary,Free-to-Play, Heavy, Solar,C > Weak,-,Exotic Kiosk, No, Free-to-Play,Season 15,Heavy,Heavy,Solar,No,,C › Weak
,Astral Horizon,Shotgun,Aggressive,Legendary,The Final Shape, Special, Kinetic,B > Average,PvP,Trials of Osiris, No, The Final Shape,Season 10,Kinetic,Special,Kinetic,No,,B › Average
,Aurvandil FR6,Fusion Rifle,High-Impact,Legendary,Free-to-Play, Special, Stasis,A > Strong,PvE,Gunsmith, No, Free-to-Play,Season 19,Kinetic,Special,Stasis,No,Top-tier,A › Strong
,Austringer,Hand Cannon,Adaptive,Legendary,Beyond Light Pack, Primary, Kinetic,A > Strong,PvE + PvP,Presage, Yes, Beyond Light Pack,Season 17,Kinetic,Primary,Kinetic,Craftable,Top-tier,A › Strong
